"nameru","persons","namekz","amount ","id","families","region"
"Усть-Каменогорск","3694","Өскемен","321485","1","862","ВКО"
"Семей","13210","Семей","1284666","2","3001","ВКО"
"Риддер","779","Риддер","79989","3","201","ВКО"
"Курчатов","165","Курчатов","11660","4","37","ВКО"
"Абайский","1256","Абай","107802","5","219","ВКО"
"Аягозский","5169","Аягөз","486666","6","1008","ВКО"
"Бескарагайский","1192","Бесқарағай","115082","7","249","ВКО"
"Бородулихинский","1287","Бородулиха","99995","8","279","ВКО"
"Глубоковский","944","Глубокое","77259","9","194","ВКО"
"Жарминский","1866","Жарма","147760","10","374","ВКО"
"Зайсанский","2412","Зайсан","212768","11","464","ВКО"
"Зыряновский","841","Зырян","74134","12","187","ВКО"
"Катон-Карагайский","1103","Катон-Қарағай","96642","13","231","ВКО"
"Кокпектинский","1262","Көкпекті","106863","14","247","ВКО"
"Курчумский","2548","Күршім","218082","15","502","ВКО"
"Тарбагатайский","6989","Тарбағатай","649221","16","1316","ВКО"
"Уланский","1372","Ұлан","111167","17","264","ВКО"
"Урджарский","5815","Үржар","485426","18","1142","ВКО"
"Шемонаихинский","777","Шемонаиха","59225","19","192","ВКО"

